Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Score
Сочень с творогом п/ф 110г,4118627,шт,1.0,4.91,11,49.99,110 г,110.0,8.0,18.3,46.1,381.0,6.67
Хлеб Пшеничный п/ф 400г,4163804,шт,1.0,4.33,12,59.99,400 г,400.0,7.5,3.0,48.0,250.0,8.0
Улитка с корицей 80г,78031990,шт,1.0,4.9,42551,39.99,80 г,80.0,5.6,26.8,45.4,445.0,5.0
Розан с начинкой Черная смородина 120г,78009909,шт,1.0,4.92,18587,39.99,120 г,120.0,3.3,12.49,40.8,289.0,5.67
Слойка с начинкой Вишня 81г,78007176,шт,1.0,4.88,18618,29.99,81 г,81.0,5.0,14.8,50.2,354.0,5.33
"Слойка с малиной, 75г",78032640,шт,1.0,4.88,13609,29.99,75 г,75.0,4.0,14.5,46.0,330.0,5.67
Пирог домашний с творожной начинкой 96г,78033558,шт,1.0,4.9,27394,39.99,96 г,96.0,7.0,10.0,48.0,310.0,6.67
Круассан с миндалем 68г,78031923,шт,1.0,4.88,18889,79.99,68 г,68.0,9.5,26.6,43.7,452.2,5.33
Пекан кленовый 70г,78010930,шт,1.0,4.91,15208,59.99,70 г,70.0,4.5,27.0,39.0,420.0,3.33
Улитка с ванильной начинкой и изюмом 90г,78032555,шт,1.0,4.9,21439,44.99,90 г,90.0,4.0,18.0,37.0,320.0,5.0
Сочень с творогом 91г,78030425,шт,1.0,4.89,15919,49.99,91 г,91.0,8.0,18.3,46.1,381.0,6.67
Плетенка с маком 204г,78035465,шт,1.0,4.76,2355,79.99,204 г,204.0,7.0,13.0,49.0,360.0,7.67
Улитка Греческая с курицей и картофелем 160г,3368421,шт,1.0,4.91,99062,59.99,160 г,160.0,8.7,6.7,32.6,226.0,6.67
Улитка Греческая с мясом 160г,3368414,шт,1.0,4.89,67883,59.99,160 г,160.0,9.3,7.7,31.6,233.0,5.67
Улитка Греческая со шпинатом и сыром 160г,3368417,шт,1.0,4.86,35217,59.99,160 г,160.0,7.6,9.2,33.6,248.0,5.33
Самса с курицей и овощами 100г,78032235,шт,1.0,4.87,30316,45.99,100 г,100.0,6.6,11.0,31.4,251.0,8.0
Слойка с ветчиной и сыром 80г,78033093,шт,1.0,4.86,19602,39.99,80 г,80.0,8.7,16.3,24.7,298.0,5.0
Слойка с сосиской 75г,78006242,шт,1.0,4.9,32888,45.99,75 г,75.0,7.2,19.3,36.0,351.0,4.0
Пирожок с яйцом и зеленым луком 65г,78034706,шт,1.0,4.82,11293,34.99,65 г,65.0,7.0,5.0,28.0,180.0,5.33
Пирожок с начинкой Капуста 75г,78011228,шт,1.0,4.89,17939,34.99,75 г,75.0,4.9,6.2,38.5,228.9,4.67
Элеш с курицей 220г,78005834,шт,1.0,4.81,29576,79.99,220 г,220.0,10.9,11.2,20.4,215.0,7.67
Хачапури 80г,78033187,шт,1.0,4.86,8567,44.99,80 г,80.0,5.5,24.0,32.0,360.0,5.0
Круассан классический 50г,78033013,шт,1.0,4.85,9512,25.99,50 г,50.0,7.0,17.0,42.0,350.0,8.0
Багет ржаной чесночный 180г,78030125,шт,1.0,4.93,57783,64.99,180 г,180.0,6.5,14.0,45.1,332.0,7.33
