Product Name,PLU,UOM,Step,Rating,Rates Count,Price,Property Clarification,Weight,Nutrients Protein,Nutrients Fat,Nutrients Carbs,Nutrients Calories,Desirability,Score
Напиток энергетический Tornado Energy Black газированный 0.45л,4372315,шт,1.0,4.87,8990,77.49,450 мл,450.0,0.0,0.0,12.0,50.0,1,6.0
Напиток Красная Цена Кола газированный 500мл,3392757,шт,1.0,4.88,22652,25.99,500 мл,500.0,0.0,0.0,0.0,0.4,1,2.0
Рис Селяночка длиннозерный пропаренный 900г,3613676,шт,1.0,4.91,10307,,900 г,900.0,6.5,1.0,79.0,350.0,8,7.67
Подушечки Любятово с шоколадной начинкой 220г,4187950,шт,1.0,4.91,5282,107.99,220 г,220.0,7.0,16.0,65.0,450.0,2,3.0
Набор кондитерской продукции Milka Новогодний экспресс 348г,4371912,шт,1.0,4.89,741,,348 г,348.0,3.8,23.0,63.0,481.0,1,5.0
Печень цыпленка Петелинка охлажденная 500г,3628376,шт,1.0,4.91,7164,179.99,500 г,500.0,18.0,10.0,0.0,160.0,6,8.0
Конфета Goodmix со вкусом соленой карамели с хрустящей вафлей 44г,4237783,шт,1.0,4.94,17202,39.99,44 г,44.0,6.1,28.0,61.0,522.0,2,3.0
Оладьи-сэндвичи С пылу с жару с вареной сгущенкой замороженные 60г,4351060,шт,1.0,4.7,571,,60 г,60.0,5.5,10.5,52.5,330.0,5,6.33
Напиток Laimon Фреш макс газированный 1.5л,3299546,шт,1.0,4.94,11315,154.99,1.5 л,1500.0,0.0,0.0,12.0,50.0,1,7.0
Джем Варенька Клубничный нестерилизованный 300г,4289672,шт,1.0,4.9,5075,99.99,300 г,300.0,0.0,0.0,60.0,240.0,2,8.0
Кофе Жокей По-восточному натуральный жареный молотый 250г,29278,шт,1.0,4.91,5661,254.99,250 г,250.0,0.0,0.0,0.0,0.0,2,8.0
Пломбир Золотой Стандарт С Таежной Черникой с черничным наполнителем в вафельном стаканчике 12% БЗМЖ 93г,4288713,шт,1.0,4.92,6715,89.99,93 г,93.0,3.6,12.6,32.7,262.0,3,6.67
Шоколад молочный Kinder Chocolate Country со злаками 23.5г,71031,шт,1.0,4.94,6690,69.99,24 г,24.0,8.6,33.8,54.9,561.0,3,6.0
Конфеты Аленка 250г,2057825,шт,1.0,4.91,1056,,250 г,250.0,6.6,31.0,58.0,540.0,2,6.0
Сыр President Камамбер мягкий с белой плесенью 45% БЗМЖ 125г,3918445,шт,1.0,4.89,1723,357.99,125 г,125.0,17.0,19.5,0.0,244.0,6,7.33
Кофе растворимый Monarch Original натуральный сублимированный 190г,4291309,шт,1.0,4.94,19016,527.99,190 г,190.0,15.1,0.2,6.1,135.0,2,8.0
Молоко Станция Молочная 3.3-6.0% БЗМЖ 930мл,4089125,шт,1.0,4.93,17870,83.99,930 мл,930.0,3.0,6.0,4.7,85.0,7,8.0
Сосиски Вязанка молочные 450г,3633778,шт,1.0,4.92,15862,309.99,450 г,450.0,11.0,16.0,0.0,188.0,4,5.33
Молоко сгущенное Рогачевъ с сахаром 8.5% БЗМЖ 380г,3376242,шт,1.0,4.94,20637,169.99,380 г,380.0,8.0,8.5,56.0,330.0,3,6.33
Коктейль молочный Растишка со вкусом клубники 2% БЗМЖ 210г,4045398,шт,1.0,4.93,7735,,210 мл,210.0,3.3,2.0,10.0,70.0,4,6.67
Кофе в зернах Venetto Crema натуральный жареный 1кг,4287539,шт,1.0,4.87,1723,1099.0,1 кг,1000.0,0.0,0.0,0.0,0.0,2,6.33
Мармелад Mix Bar жевательный со вкусом колы 70г,3980249,шт,1.0,4.88,10690,,70 г,70.0,5.5,0.0,72.0,310.0,2,5.67
Каша Секреты природы льняная 250г,4216128,шт,1.0,4.88,3320,142.99,250 г,250.0,21.0,44.0,12.0,560.0,7,8.0
Творог Савушкин Мягкий обезжиренный 0.1% БЗМЖ 125г,3194302,шт,1.0,4.93,8396,43.99,125 г,125.0,10.0,0.1,1.0,44.9,3,7.67
Солянка По-домашнему замороженая Главсуп 250г,3236284,шт,1.0,4.9,4509,145.99,250 г,250.0,1.3,2.5,4.0,44.0,3,8.0
Кекс Хлебный Дом Василеостровский творожный 400г,2024155,шт,1.0,4.91,2914,239.99,400 г,400.0,7.7,15.7,54.7,386.0,2,6.0
Вареники Рестория с вишней 450г,4097630,шт,1.0,4.82,2587,279.99,450 г,450.0,5.0,1.0,44.0,200.0,5,8.0
Чай зеленый Curtis Hugo Cocktail 20х1.8г,3482097,шт,1.0,4.93,5017,,20 шт,-1.0,0.0,0.0,0.0,0.0,2,8.0
Чай черный Greenfield Золотой Цейлон 25х2г,46398,шт,1.0,4.94,10367,,25 шт,-1.0,0.0,0.0,0.0,0.0,2,6.33
Пирожное Orion Choco Pie в глазури с обогащающей добавкой 6x30г,3206240,шт,1.0,4.94,33377,,180 г,180.0,4.8,18.0,67.0,450.0,3,4.0
Сыр плавленый Viola Сливочный ломтики 45% БЗМЖ 140г,3501012,шт,1.0,4.91,4708,,140 г,140.0,16.0,23.0,4.5,290.0,5,7.0
Круассаны 7 Days мини c кремом Ваниль 265г,4332029,шт,1.0,4.92,6521,158.99,265 г,265.0,6.0,26.0,46.0,448.0,2,6.0
"Набор колбас Велком Брауншвейгская, велкомовская, миланская сырокопченые полусухие 90г",4214450,шт,1.0,4.89,4411,,90 г,90.0,28.0,42.0,0.0,490.0,4,6.67
Приправа Sicilia сок лимона натуральная 115мл,35242,шт,1.0,4.93,7848,79.99,115 мл,115.0,0.4,0.0,9.5,30.0,1,7.67
Кешью Mixbar жареный 150г,3982581,шт,1.0,4.89,2901,262.99,150 г,150.0,26.0,55.3,13.0,650.7,7,8.0
Паштет Гастроном Нежный из куриного мяса 90г,3609913,шт,1.0,4.89,14232,,90 г,90.0,4.0,25.0,2.0,249.0,6,6.33
Колбаса Casademont Сальчичон монтанья экстра сыровяленая 250г,3447711,шт,1.0,4.79,85,429.99,250 г,250.0,25.0,26.0,0.0,334.0,3,6.0
Трубочка с вареной сгущенкой 50г,78035625,шт,1.0,4.87,2813,49.99,50 г,50.0,6.5,16.5,54.0,390.5,3,6.67
Продукт кисломолочный Actimuno Kids с клубникой и бананом 1.5% БЗМЖ 95г,4311962,шт,1.0,4.94,8404,32.99,95 г,95.0,2.7,1.5,11.6,71.0,6,7.67
